Pocet položek; Bubble Sort; Selection Sort; Insertion Sort
10;90,0644;0,3506;2,0387;0,4250;
10;0,0189;0,0171;0,0151;0,0206;
10;0,0343;0,0163;0,0207;0,0190;
10;0,0185;0,0171;0,0148;0,0210;
10;0,0160;0,0149;0,0167;0,0186;
10;0,0178;0,0151;0,0166;0,0185;
10;0,0220;0,0169;0,0148;0,0205;
10;0,0176;0,0149;0,0167;0,0185;
10;0,0176;0,2236;0,0437;0,0480;
10;0,0452;0,0435;0,0380;0,0560;
20;0,0492;0,0491;0,0410;0,0515;
20;0,0547;0,0382;0,0259;0,0464;
20;0,0540;0,0321;0,0269;0,0255;
20;0,0273;0,0287;0,0227;0,0224;
20;0,0272;0,0212;0,0217;0,0221;
20;0,0401;0,0258;0,0195;0,0365;
20;0,0422;0,0241;0,0224;0,0405;
20;0,0319;0,0237;0,0208;0,0377;
20;1,5999;0,0340;0,0241;0,0396;
20;0,0333;0,0238;0,0195;0,0482;
40;0,0901;0,0449;0,0393;0,0463;
40;0,1108;0,0468;0,0437;0,0442;
40;0,0903;0,0814;0,0519;0,0622;
40;0,0909;0,0581;0,0415;0,0464;
40;0,0855;0,0504;0,0342;0,0449;
40;0,0788;0,0467;0,0362;0,0483;
40;0,0955;0,0422;0,0353;0,0491;
40;0,0753;0,0421;0,0355;0,0443;
40;0,0778;0,0434;0,0363;0,0504;
40;0,0769;0,0456;0,0424;0,0457;
80;0,2634;0,1289;0,0961;0,0769;
80;0,2500;0,1752;0,1289;0,1332;
80;0,2951;0,1294;0,1030;0,0971;
80;0,2587;0,1364;0,0995;0,0861;
80;1,1340;0,0897;0,0652;0,0646;
80;0,1607;0,0805;0,0631;0,0646;
80;0,1723;0,0852;0,0639;0,0627;
80;0,1651;0,0815;0,0629;0,0654;
80;0,1614;0,0816;0,0707;0,0688;
80;0,1726;0,0817;0,0749;0,0654;
160;0,6005;0,3034;0,8609;0,1381;
160;0,5848;0,2809;0,2141;0,1371;
160;0,5886;0,2982;0,2196;0,1385;
160;0,6650;0,2821;0,2304;0,1507;
160;0,5767;0,2920;0,2142;0,1483;
160;0,6524;0,2668;0,2308;0,1330;
160;0,5595;0,2581;0,2126;0,1301;
160;0,6529;0,2722;0,2031;0,3200;
160;0,8070;0,2991;0,2166;0,1421;
160;0,5899;0,3778;0,2188;0,1419;
320;2,3178;1,0384;0,7590;0,3529;
320;2,2814;1,1028;0,7651;0,3545;
320;2,3267;1,0453;0,7618;0,3573;
320;2,2921;1,0050;0,8099;0,3518;
320;2,2573;0,9793;0,8376;0,4213;
320;2,2779;1,0719;0,7657;0,3640;
320;2,3509;1,0533;0,7573;0,3528;
320;2,3414;1,0070;1,5362;0,4099;
320;2,4766;1,0141;0,7902;0,4448;
320;2,1881;0,9783;0,7027;0,3379;
640;9,6442;4,2498;3,2078;1,4704;
640;9,9966;4,3209;3,8685;1,5346;
640;9,6931;4,7978;3,1397;1,2112;
640;9,4644;4,2380;2,9258;1,1458;
640;10,1220;4,9943;4,4883;1,3327;
640;9,9467;6,2605;3,3711;1,3146;
640;10,4592;4,5640;3,4490;1,9325;
640;10,0105;4,2259;3,4622;1,1999;
640;9,4954;4,3078;3,2264;1,2148;
640;9,7873;4,9347;3,9666;1,6806;
1280;41,2904;18,3335;15,0478;4,8661;
1280;39,9702;17,9009;13,5114;4,9284;
1280;40,3203;17,2598;12,7103;5,2917;
1280;37,8049;16,9465;13,8683;4,9793;
1280;42,0651;22,7465;13,2599;4,8412;
1280;40,4788;17,9628;13,5787;5,0203;
1280;40,1579;16,5189;12,4997;4,9086;
1280;39,2919;18,7874;12,0076;4,7798;
1280;38,8121;17,3249;12,1931;4,8477;
1280;50,7816;18,9058;11,6875;4,4610;
2560;152,6046;61,4659;45,7397;22,3377;
2560;153,5133;64,2710;42,4409;15,6801;
2560;137,6928;60,7422;43,5293;16,2711;
2560;135,9949;60,3587;44,3251;15,5282;
2560;136,4462;59,0406;42,0276;17,0180;
2560;143,0393;59,1093;44,6093;16,5006;
2560;144,3970;59,8958;51,2206;17,3087;
2560;140,8945;61,4875;43,7023;16,3072;
2560;135,4194;57,9301;46,5067;16,9386;
2560;139,8095;59,4623;46,7393;18,1382;
5120;554,2825;251,4258;171,9743;62,4515;
5120;540,2014;239,2003;170,6904;61,8581;
5120;561,4160;240,7877;175,4482;67,2884;
5120;537,7673;243,1893;179,3137;60,9303;
5120;540,3554;241,3854;175,8601;60,8271;
5120;579,4171;236,1583;177,7655;61,1798;
5120;550,3740;253,1236;179,3020;62,5744;
5120;710,1454;272,1619;179,5880;68,0541;
5120;598,1193;247,4106;183,3692;70,3949;
5120;578,9405;242,7228;175,3443;66,4366;
